"species","x","y","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_3","wc2.1_2.5m_bio_4","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_6","wc2.1_2.5m_bio_7","wc2.1_2.5m_bio_8","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_10","wc2.1_2.5m_bio_11","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_13","wc2.1_2.5m_bio_14","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_16","wc2.1_2.5m_bio_17","wc2.1_2.5m_bio_18","wc2.1_2.5m_bio_19"
"background",-2449434.10963524,1186664.35187042,-3.7798900604248,4.91485357284546,33.9341087341309,341.872192382812,2.45814156532288,-12.0228958129883,14.4810361862183,-1.62099134922028,-0.65494704246521,0.21720564365387,-8.21277618408203,833.753112792969,93.3470458984375,36.636833190918,25.1202507019043,259.677978515625,134.025039672852,161.656509399414,217.617156982422
"background",-2649990.41394982,1466870.72188996,-2.90334868431091,3.60961365699768,28.747896194458,327.656982421875,2.60037732124329,-9.95807933807373,12.5584573745728,-0.579517304897308,-6.55486726760864,0.735552966594696,-7.3337140083313,604.033630371094,75.4856491088867,31.2466850280762,25.5141315460205,203.451950073242,113.337066650391,168.933807373047,115.076362609863
"background",-2649990.41394982,1466870.72188996,-2.90334868431091,3.60961365699768,28.747896194458,327.656982421875,2.60037732124329,-9.95807933807373,12.5584573745728,-0.579517304897308,-6.55486726760864,0.735552966594696,-7.3337140083313,604.033630371094,75.4856491088867,31.2466850280762,25.5141315460205,203.451950073242,113.337066650391,168.933807373047,115.076362609863
"background",-2629291.85993771,1594350.95432252,-2.85085272789001,4.21317052841187,33.8287887573242,294.123229980469,2.5405740737915,-9.91335391998291,12.4539279937744,-0.286315649747849,-6.57496404647827,0.622817575931549,-6.57496404647827,845.281677246094,92.9837036132812,46.3731727600098,23.641300201416,270.919067382812,151.199432373047,237.273025512695,151.199432373047
"background",-1849143.99394241,735709.374498743,-9.63092994689941,6.62425994873047,29.933292388916,540.836120605469,2.16681838035583,-19.9635353088379,22.1303539276123,-10.4374046325684,-3.03266620635986,-2.21199417114258,-15.56569480896,190.844375610352,32.4990692138672,0,65.0731353759766,89.9292907714844,5,12.9698429107666,50.542854309082
"background",-1849856.55777235,734278.030476415,-9.63092994689941,6.62425994873047,29.933292388916,540.836120605469,2.16681838035583,-19.9635353088379,22.1303539276123,-10.4374046325684,-3.03266620635986,-2.21199417114258,-15.56569480896,190.844375610352,32.4990692138672,0,65.0731353759766,89.9292907714844,5,12.9698429107666,50.542854309082
"background",-1900701.59319288,757149.674942628,-7.99070072174072,6.57833766937256,30.1419906616211,530.324768066406,3.52884554862976,-18.2945709228516,21.8234157562256,-8.58417415618896,-1.63764357566833,-0.765655636787415,-13.8518133163452,207.763519287109,35.1161346435547,0,62.442813873291,93.2098999023438,7,14,56.6417922973633
"background",-1947951.1345343,768103.935955436,-9.0463809967041,6.71876049041748,31.1682186126709,518.241088867188,2.24375224113464,-19.3114433288574,21.555196762085,-9.54007244110107,-2.88816165924072,-1.99973702430725,-14.7991752624512,217.803359985352,36.3803825378418,1.78532302379608,56.8176956176758,94.2408828735352,13.7048349380493,20.9147815704346,57.4251899719238
"background",-1952335.21816661,772195.98054453,-7.80099105834961,6.71831846237183,30.7102947235107,522.706970214844,3.75256538391113,-18.1216506958008,21.8742160797119,-8.24038696289062,-1.59114921092987,-0.718801081180573,-13.6239624023438,233.181930541992,37.4806632995605,3.62045907974243,51.9142990112305,96.5773162841797,19.1224422454834,27.0346508026123,58.8061866760254
"background",-1953398.84069274,774227.707190746,-7.80099105834961,6.71831846237183,30.7102947235107,522.706970214844,3.75256538391113,-18.1216506958008,21.8742160797119,-8.24038696289062,-1.59114921092987,-0.718801081180573,-13.6239624023438,233.181930541992,37.4806632995605,3.62045907974243,51.9142990112305,96.5773162841797,19.1224422454834,27.0346508026123,58.8061866760254
"background",-1442897.62846964,547969.9555353,-19.3408164978027,7.61467218399048,28.9996528625488,651.109985351562,-4.55720138549805,-30.8150329589844,26.2578296661377,-21.42995262146,-10.869722366333,-10.3499622344971,-26.3516731262207,99.7102127075195,21.1556987762451,0,80.3328475952148,52.1557006835938,1,5.30759716033936,27.2469177246094
"background",-1476873.41232515,489863.952456931,-17.7042503356934,7.59081220626831,29.2256259918213,629.9140625,-3.36195254325867,-29.3348960876465,25.9729442596436,-19.406759262085,-9.68948841094971,-9.10649681091309,-24.7776012420654,155.669692993164,31,0,75.7858200073242,78.2354278564453,2,8,43.1447563171387
"background",-1519355.57878751,474706.796747827,-17.6206302642822,7.54194021224976,29.518985748291,625.2802734375,-3.45352005958557,-29.002462387085,25.5489444732666,-19.3268299102783,-9.64128494262695,-9.09060096740723,-24.6267375946045,190.716888427734,35.7846069335938,0,71.8614654541016,91.1103820800781,4,12.8616762161255,52.6738243103027
"background",-1514061.08844939,586777.103000891,-20.2265796661377,7.78885841369629,30.201208114624,625.571838378906,-5.73149585723877,-31.5214862823486,25.7899913787842,-22.1152610778809,-12.1491861343384,-11.5825033187866,-27.0048427581787,92.5027542114258,21,0,87.0281524658203,50.7102241516113,0,3.96933913230896,26.2319831848145
"background",-2437962.13598144,1533674.58662883,-5.78547620773315,5.78984069824219,33.1805076599121,445.384460449219,2.33336400985718,-15.1169986724854,17.4503631591797,-10.4945802688599,-0.356037348508835,-0.351632416248322,-11.2698554992676,424.16650390625,49.0192070007324,22.7899017333984,23.3625774383545,134.332244873047,83.6936950683594,83.6936950683594,115.756103515625
"background",-2465624.88991117,1601617.71226252,-5.82858896255493,6.69684505462646,37.560359954834,446.269622802734,2.31705737113953,-15.5126791000366,17.8297367095947,-4.2007303237915,-10.1684484481812,-0.326691389083862,-11.1852083206177,636.798950195312,65.5680389404297,38.9769668579102,13.769474029541,173.275039672852,136.297592163086,159.801391601562,155.979919433594
"background",-2143900.93329888,892825.06500012,-8.87667083740234,6.61970949172974,32.4896850585938,480.092529296875,0.819618225097656,-19.5544357299805,20.3740539550781,-6.27077007293701,-3.62010407447815,-2.72014617919922,-14.6366491317749,226.287033081055,39.6039848327637,0.546841681003571,57.9973487854004,97.4954986572266,14.0319948196411,24.9026756286621,60.1887512207031
"background",-2196790.82032094,926671.079541102,-6.39515447616577,6.48581409454346,31.9048347473145,483.292633056641,2.90592002868652,-17.421895980835,20.3278160095215,-5.60817337036133,-1.33426630496979,-0.370231211185455,-12.3415718078613,248.237762451172,41.3607597351074,2.28809523582458,54.4425621032715,106.855155944824,17.5957698822021,27.5440845489502,61.6756858825684
"background",-2222698.79933601,934336.541434468,-5.85772132873535,6.66268062591553,32.2300262451172,483.559204101562,3.53248262405396,-17.1387500762939,20.6712322235107,-4.75832939147949,-0.944738864898682,0.0162699576467276,-11.8946218490601,277.469085693359,45.8940734863281,4.68933343887329,49.6312599182129,115.81640625,25.9422035217285,37.7868690490723,66
"background",-2290888.66413929,918253.475245578,-4.62132549285889,5.38218975067139,30.2303428649902,431.147186279297,3.24953413009644,-14.5544891357422,17.8040218353271,-3.51878595352173,-0.355884790420532,0.595982432365417,-9.99421310424805,385.160339355469,57.159538269043,5.60696315765381,46.9579582214355,156.063613891602,35.9283485412598,46.4758987426758,101.112815856934
"background",-2453029.60954493,1190328.37000344,-4.70091247558594,5.00588417053223,33.8432273864746,349.728454589844,1.81745028495789,-12.9731016159058,14.7905521392822,-3.58776903152466,-1.45145976543427,-0.546537816524506,-9.1748514175415,791.266235351562,86.7236557006836,24.782922744751,30.2770862579346,248.512542724609,107.358039855957,128.053863525391,228.413528442383
"background",-2466487.3166294,1196668.83529232,-4.36407089233398,4.94859170913696,33.9405670166016,342.659545898438,2.170649766922,-12.4049577713013,14.5756072998047,-2.20766973495483,-1.18992507457733,-0.262791991233826,-8.71363639831543,846.411804199219,93.8097610473633,31.9170360565186,27.3885402679443,261.466888427734,129.258453369141,149.998321533203,228.901245117188
