x,y,Acarospora_gwynnii cloglog values
-2449434.10963524,1186664.35187042,0.021501733
-2649990.41394982,1466870.72188996,0.01593421
-2649990.41394982,1466870.72188996,0.01593421
-2629291.85993771,1594350.95432252,0.008575621
-1849143.99394241,735709.374498743,0.46929103
-1849856.55777235,734278.030476415,0.46929103
-1900701.59319288,757149.674942628,0.37471294
-1947951.1345343,768103.935955436,0.4073236
-1952335.21816661,772195.98054453,0.32106397
-1953398.84069274,774227.707190746,0.32106397
-1442897.62846964,547969.9555353,0.966493
-1476873.41232515,489863.952456931,0.8205199
-1519355.57878751,474706.796747827,0.75351274
-1514061.08844939,586777.103000891,0.9710923
-2437962.13598144,1533674.58662883,0.24291687
-2465624.88991117,1601617.71226252,0.048610423
-2143900.93329888,892825.06500012,0.2019055
-2196790.82032094,926671.079541102,0.17683573
-2222698.79933601,934336.541434468,0.14050876
-2290888.66413929,918253.475245578,0.08918529
-2453029.60954493,1190328.37000344,0.041676573
-2466487.3166294,1196668.83529232,0.02642384
-2470652.52707823,1204318.56838427,0.020177417
-2483092.95955909,1234826.52381985,0.038234014
-2484338.74382934,1247840.54179949,0.100648105
-2479578.93343066,1282627.73132274,0.08104986
-2524288.66539813,1288509.31960776,0.16353704
-2524400.3517855,1289211.20212553,0.16353704
-2428094.60530231,1555591.34174238,0.28998718
-2601754.79761239,1467210.25300012,0.021912279
-2630217.95910114,1624601.58210426,0.024804711
-2626775.24466491,1813518.93298832,0.010970115
-2619468.66640445,1824174.00120961,0.013482249
-1824322.31380591,915125.391132192,0.9747237
-2245507.80580756,943984.056104864,0.1480636
-2466487.3166294,1196668.83529232,0.02642384
-2631287.09278694,1496597.75315835,0.028467417
-2426692.98647384,1536185.03094775,0.29702273
-2205508.1238483,934771.498940679,0.078840554
-2277068.01772189,902519.18509296,0.029048422
-2290073.84320192,905614.335817293,0.121734716
-2623592.19618942,1610867.63855787,0.023965077
-1880248.32863051,801642.102122726,0.57991505
-2437962.13598144,1533674.58662883,0.24291687
-2429739.20693984,1546836.91034594,0.29273775
-2440565.63312605,1532151.34676087,0.24728277
-2428094.60530231,1555591.34174238,0.28998718
-2452603.47920882,1597397.82862471,0.04423074
-2604271.68776354,1465251.46901134,0.021912279
-2603496.23730889,1468791.26578778,0.026811576
-2607033.10718496,1470696.05660424,0.035083927
-2609261.00927066,1470243.0187208,0.04606976
-2638160.29845032,1588728.30762292,0.013334746
-1440614.72697308,526282.246945053,0.9529538
-2290073.84320192,905614.335817293,0.121734716
-2428094.60530231,1555591.34174238,0.28998718
-2638160.29845032,1588728.30762292,0.013334746
-1826512.18964141,717648.653704541,0.45058888
-1994531.57004867,1032944.10395713,0.65328383
-1476873.41232515,489863.952456931,0.8205199
-1519355.57878751,474706.796747827,0.75351274
-2449554.26791728,1186789.07680171,0.021501733
-2290888.66413929,918253.475245578,0.08918529
-2453029.60954493,1190328.37000344,0.041676573
-2629291.85993771,1594350.95432252,0.008575621
-2638160.29845032,1588728.30762292,0.013334746
-2619468.66640445,1824174.00120961,0.013482249
-2149428.99057318,565434.123810298,0.15478586
-2638160.29845032,1588728.30762292,0.013334746
-2623592.19618942,1610867.63855787,0.023965077
-2638160.29845032,1588728.30762292,0.013334746
-2465624.88991117,1601617.71226252,0.048610423
-2277068.01772189,902519.18509296,0.029048422
-2290073.84320192,905614.335817293,0.121734716
-2273352.98975803,964981.092507093,0.017998066
-2428339.5132885,1154894.85972534,0.05950451
-2437947.97048564,1186342.61404601,0.052596338
-2453029.60954493,1190328.37000344,0.041676573
-2466487.3166294,1196668.83529232,0.02642384
-2468397.1623629,1219210.70007949,0.054977063
-2503551.0216109,1218525.47002202,0.027973212
-2515621.52500196,1211526.77893387,0.024914045
