x,y,Usnea_antarctica cloglog values
-2373126.50386733,1542304.36752783,0.20510386
-2445421.3658215,1457127.45448814,0.26874483
-2443122.76353586,1536655.01720342,0.1763319
-2451124.27523191,1525607.39458483,0.29981023
-2216887.17336505,945305.849255676,0.34119117
-2278379.50582039,1189084.43868482,0.5030093
-2285173.99325334,1187653.05848885,0.4162755
-2453029.60954493,1190328.37000344,0.5472053
-2524400.3517855,1289211.20212553,0.26737383
-1843636.30888502,735275.223204422,0.19235128
-1824322.31380591,915125.391132192,0.0032432817
-1828899.92587262,921148.638930652,6.3991984E-6
-1831378.57926922,925541.658836521,0.003379387
-1829065.48670721,965665.996476289,4.2748617E-4
-1827167.04297676,981300.933167259,3.1714555E-4
-1842435.54264249,953868.732070356,0.0033711516
-1841044.00125363,973481.323003556,5.799126E-4
-1856652.05928706,948818.577111815,0.005020367
-1846813.77083683,969202.978955847,4.955543E-4
-1840544.78595043,991030.017111752,4.947859E-4
-1995129.70381721,1012707.27824026,0.03754762
-2003730.89476826,1016540.14871756,0.039526667
-2017317.73824267,999476.775748661,0.025350338
-2174210.09421259,1014320.23249259,0.2666746
-1432436.10393814,532517.019414768,7.580425E-4
-1435320.22391726,539972.909426751,6.7478884E-4
-1437416.52240629,534471.891835608,8.165855E-4
-1476873.41232515,489863.952456931,0.0037281858
-1519355.57878751,474706.796747827,0.0056547495
-1530796.803483,524891.065561778,0.0053084306
-1527357.3934783,578134.509300492,0.0016087015
-2449434.10963524,1186664.35187042,0.5834241
-2649990.41394982,1466870.72188996,0.5073991
-2649990.41394982,1466870.72188996,0.5073991
-2629291.85993771,1594350.95432252,0.29682645
-1849143.99394241,735709.374498743,0.09681572
-1849856.55777235,734278.030476415,0.09681572
-1900701.59319288,757149.674942628,0.15985575
-1947951.1345343,768103.935955436,0.14637777
-1952335.21816661,772195.98054453,0.16537179
-1953398.84069274,774227.707190746,0.16537179
-1442897.62846964,547969.9555353,6.335025E-4
-1476873.41232515,489863.952456931,0.0037281858
-1519355.57878751,474706.796747827,0.0056547495
-1514061.08844939,586777.103000891,0.0010134189
-2437962.13598144,1533674.58662883,0.24681541
-2465624.88991117,1601617.71226252,0.7293219
-2143900.93329888,892825.06500012,0.338877
-2196790.82032094,926671.079541102,0.33907443
-2222698.79933601,934336.541434468,0.38191548
-2290888.66413929,918253.475245578,0.6300237
-2453029.60954493,1190328.37000344,0.5472053
-2466487.3166294,1196668.83529232,0.5009757
-2470652.52707823,1204318.56838427,0.54541653
-2483092.95955909,1234826.52381985,0.78551966
-2484338.74382934,1247840.54179949,0.88884497
-2479578.93343066,1282627.73132274,0.8464916
-2524288.66539813,1288509.31960776,0.26737383
-2524400.3517855,1289211.20212553,0.26737383
-2428094.60530231,1555591.34174238,0.12443535
-2601754.79761239,1467210.25300012,0.69389784
-2630217.95910114,1624601.58210426,0.58801335
-2626775.24466491,1813518.93298832,0.38021848
-2619468.66640445,1824174.00120961,0.521178
-1824322.31380591,915125.391132192,0.0032432817
-2245507.80580756,943984.056104864,0.39251053
-2466487.3166294,1196668.83529232,0.5009757
-2631287.09278694,1496597.75315835,0.7617783
-2426692.98647384,1536185.03094775,0.1054893
-2205508.1238483,934771.498940679,0.42654413
-2277068.01772189,902519.18509296,0.69048125
-2290073.84320192,905614.335817293,0.55431783
-2623592.19618942,1610867.63855787,0.56141156
-1880248.32863051,801642.102122726,0.038433768
-2437962.13598144,1533674.58662883,0.24681541
-2429739.20693984,1546836.91034594,0.13144904
