x,y,Umbilicaria_decussata cloglog values
-2373126.50386733,1542304.36752783,0.9994267
-2445421.3658215,1457127.45448814,0.6230202
-2443122.76353586,1536655.01720342,0.5412203
-2451124.27523191,1525607.39458483,0.53111196
-2216887.17336505,945305.849255676,0.75527686
-2278379.50582039,1189084.43868482,0.5602948
-2285173.99325334,1187653.05848885,0.49667475
-2453029.60954493,1190328.37000344,0.33803836
-2524400.3517855,1289211.20212553,0.1212328
-1843636.30888502,735275.223204422,0.6680364
-1824322.31380591,915125.391132192,0.43904856
-1828899.92587262,921148.638930652,0.28888255
-1831378.57926922,925541.658836521,0.46006393
-1829065.48670721,965665.996476289,0.9455793
-1827167.04297676,981300.933167259,0.9536818
-1842435.54264249,953868.732070356,0.89738286
-1841044.00125363,973481.323003556,0.9141825
-1856652.05928706,948818.577111815,0.80764997
-1846813.77083683,969202.978955847,0.91005194
-1840544.78595043,991030.017111752,0.9330671
-1995129.70381721,1012707.27824026,0.8895682
-2003730.89476826,1016540.14871756,0.8924424
-2017317.73824267,999476.775748661,0.8524074
-2174210.09421259,1014320.23249259,0.68956167
-1432436.10393814,532517.019414768,0.1981521
-1435320.22391726,539972.909426751,0.22435547
-1437416.52240629,534471.891835608,0.17279184
-1476873.41232515,489863.952456931,0.16563511
-1519355.57878751,474706.796747827,0.15849143
-1530796.803483,524891.065561778,0.1451868
-1527357.3934783,578134.509300492,0.13585274
-2449434.10963524,1186664.35187042,0.26729327
-2649990.41394982,1466870.72188996,0.11833864
-2649990.41394982,1466870.72188996,0.11833864
-2629291.85993771,1594350.95432252,0.23536141
-1849143.99394241,735709.374498743,0.6387183
-1849856.55777235,734278.030476415,0.6387183
-1900701.59319288,757149.674942628,0.70196813
-1947951.1345343,768103.935955436,0.68566585
-1952335.21816661,772195.98054453,0.6814307
-1953398.84069274,774227.707190746,0.6814307
-1442897.62846964,547969.9555353,0.22290292
-1476873.41232515,489863.952456931,0.16563511
-1519355.57878751,474706.796747827,0.15849143
-1514061.08844939,586777.103000891,0.1600201
-2437962.13598144,1533674.58662883,0.53699845
-2465624.88991117,1601617.71226252,0.8454915
-2143900.93329888,892825.06500012,0.77323174
-2196790.82032094,926671.079541102,0.7398689
-2222698.79933601,934336.541434468,0.7394058
-2290888.66413929,918253.475245578,0.5886983
-2453029.60954493,1190328.37000344,0.33803836
-2466487.3166294,1196668.83529232,0.31847143
-2470652.52707823,1204318.56838427,0.27334318
-2483092.95955909,1234826.52381985,0.36188132
-2484338.74382934,1247840.54179949,0.3765868
-2479578.93343066,1282627.73132274,0.2914771
-2524288.66539813,1288509.31960776,0.1212328
-2524400.3517855,1289211.20212553,0.1212328
-2428094.60530231,1555591.34174238,0.645159
-2601754.79761239,1467210.25300012,0.20282294
-2630217.95910114,1624601.58210426,0.23278522
-2626775.24466491,1813518.93298832,0.16409901
-2619468.66640445,1824174.00120961,0.22855648
-1824322.31380591,915125.391132192,0.43904856
-2245507.80580756,943984.056104864,0.7297369
-2466487.3166294,1196668.83529232,0.31847143
-2631287.09278694,1496597.75315835,0.32263625
-2426692.98647384,1536185.03094775,0.6429532
-2205508.1238483,934771.498940679,0.6871938
-2277068.01772189,902519.18509296,0.47699493
-2290073.84320192,905614.335817293,0.6126921
-2623592.19618942,1610867.63855787,0.28539553
-1880248.32863051,801642.102122726,0.68713075
-2437962.13598144,1533674.58662883,0.53699845
-2429739.20693984,1546836.91034594,0.62296796
-2440565.63312605,1532151.34676087,0.54935247
-2428094.60530231,1555591.34174238,0.645159
-2452603.47920882,1597397.82862471,0.56220305
-2604271.68776354,1465251.46901134,0.20282294
-2603496.23730889,1468791.26578778,0.24925713
-2607033.10718496,1470696.05660424,0.3329563
-2609261.00927066,1470243.0187208,0.42306194
-2638160.29845032,1588728.30762292,0.07437777
-1440614.72697308,526282.246945053,0.1861603
-2290073.84320192,905614.335817293,0.6126921
-2428094.60530231,1555591.34174238,0.645159
-2638160.29845032,1588728.30762292,0.07437777
-1826512.18964141,717648.653704541,0.6726215
-1994531.57004867,1032944.10395713,0.8562937
-1476873.41232515,489863.952456931,0.16563511
-1519355.57878751,474706.796747827,0.15849143
-2449554.26791728,1186789.07680171,0.26729327
-2290888.66413929,918253.475245578,0.5886983
-2453029.60954493,1190328.37000344,0.33803836
-2629291.85993771,1594350.95432252,0.23536141
-2638160.29845032,1588728.30762292,0.07437777
-2619468.66640445,1824174.00120961,0.22855648
-2149428.99057318,565434.123810298,0.4746236
-2638160.29845032,1588728.30762292,0.07437777
-2623592.19618942,1610867.63855787,0.28539553
-2638160.29845032,1588728.30762292,0.07437777
-2465624.88991117,1601617.71226252,0.8454915
-2277068.01772189,902519.18509296,0.47699493
-2290073.84320192,905614.335817293,0.6126921
-2273352.98975803,964981.092507093,0.81567943
-2428339.5132885,1154894.85972534,0.42057988
-2437947.97048564,1186342.61404601,0.40726137
-2453029.60954493,1190328.37000344,0.33803836
-2466487.3166294,1196668.83529232,0.31847143
-2468397.1623629,1219210.70007949,0.4202775
-2503551.0216109,1218525.47002202,0.3514905
-2515621.52500196,1211526.77893387,0.3868035
-2484666.13751694,1372600.85885939,0.47225413
-2629291.85993771,1594350.95432252,0.23536141
-2149428.99057318,565434.123810298,0.4746236
-2276694.71128246,903329.086350651,0.47699493
-2290073.84320192,905614.335817293,0.6126921
-2629291.85993771,1594350.95432252,0.23536141
-2629291.85993771,1594350.95432252,0.23536141
-2642487.90527909,1548050.44585207,0.21045245
-2638160.29845032,1588728.30762292,0.07437777
-2639659.80886563,1589204.4643681,0.07437777
-2627422.61051007,1611865.34278683,0.26293528
-2449434.10963524,1186664.35187042,0.26729327
-2504774.95848793,1216680.1906665,0.3514905
-2649990.41394982,1466870.72188996,0.11833864
-2624447.39080998,1610543.2480153,0.28539553
-2621368.94232242,1629399.54058098,0.31527293
-2318538.36125287,1117231.47850955,0.63903713
-1849856.55777235,734278.030476415,0.6387183
-2629291.85993771,1594350.95432252,0.23536141
-2638160.29845032,1588728.30762292,0.07437777
